weeks,year,temp_num_max_max,temp_num_max_min,temp_num_max_mean,temp_num_min_max,temp_num_min_min,temp_num_min_mean,temp_num_mean_max,temp_num_mean_min,temp_num_mean_mean,feels_num_max_max,feels_num_max_min,feels_num_max_mean,feels_num_min_max,feels_num_min_min,feels_num_min_mean,feels_num_mean_max,feels_num_mean_min,feels_num_mean_mean,gust_num_max_max,gust_num_max_min,gust_num_max_mean,gust_num_min_max,gust_num_min_min,gust_num_min_mean,gust_num_mean_max,gust_num_mean_min,gust_num_mean_mean,rain_num_max_max,rain_num_max_min,rain_num_max_mean,rain_num_min_max,rain_num_min_min,rain_num_min_mean,rain_num_mean_max,rain_num_mean_min,rain_num_mean_mean,humid_num_max_max,humid_num_max_min,humid_num_max_mean,humid_num_min_max,humid_num_min_min,humid_num_min_mean,humid_num_mean_max,humid_num_mean_min,humid_num_mean_mean,cloud_num_max_max,cloud_num_max_min,cloud_num_max_mean,cloud_num_min_max,cloud_num_min_min,cloud_num_min_mean,cloud_num_mean_max,cloud_num_mean_min,cloud_num_mean_mean,illum_max,illum_min,illum_mean,Ah1n1,Ah3,B,Label_AH1N1,Label_AH3,Label_B
21,2009,31,27,28.71428571,25,23,24.28571429,27.75,25.25,26.21428571,40,32,35,30,27,28.28571429,34.625,29.375,31.28571429,17,11,14.85714286,8,0,4.571428571,10.75,6.5,9.285714286,6.5,0,3.3,0,0,0,1.3375,0,0.6,97,94,95.85714286,89,66,78.57142857,94.5,82.5,89.64285714,100,45,80.28571429,62,19,35.28571429,72.5,37.875,52.75,90,48,69,,70,13,normal,warning,danger
22,2009,32,28,30,25,24,24.71428571,27.625,25.625,26.875,41,34,37.42857143,30,28,29.14285714,33.75,30.125,32.64285714,27,9,17,10,1,5.714285714,17.25,6.5,10.75,7.1,0.5,3.714285714,0,0,0,1.15,0.0625,0.576785714,96,94,95.71428571,85,65,76.42857143,92.75,84.625,89.21428571,96,60,82.57142857,36,17,25.57142857,64.375,40.625,49.25,41,0,20.71428571,,62,6,normal,warning,warning
23,2009,32,29,30.28571429,25,23,24,27.625,26.25,26.98214286,39,34,37,29,27,28,33.125,30.5,32.25,21,15,18.71428571,11,3,8.142857143,16.125,10.75,13.21428571,6.3,0,2.714285714,0,0,0,1.075,0,0.451785714,97,92,94.57142857,79,62,71,89,79.625,85,100,27,68.71428571,32,5,16.28571429,56.25,15.25,36.58928571,41,0,20.71428571,,46,16,normal,warning,danger
24,2009,33,28,30.71428571,25,24,24.28571429,28.25,25.875,27.10714286,42,35,38,29,27,28.28571429,34.5,30.5,32.66071429,24,14,18.28571429,11,8,8.857142857,13.875,11.125,12.44642857,5.8,0,2.657142857,0,0,0,0.725,0,0.391071429,97,93,95.42857143,85,55,70.42857143,93.375,76.125,85.55357143,99,27,62.14285714,49,4,20.14285714,64.125,12.875,38,90,48,69,,42,9,normal,warning,warning
25,2009,31,29,29.71428571,24,24,24,27.125,26.125,26.57142857,40,36,37.57142857,28,27,27.71428571,33.25,31.25,32.16071429,22,10,16,8,1,5.285714286,13.125,8.25,10.5,6.3,0,3.571428571,0,0,0,1.2,0,0.542857143,98,96,97.14285714,81,72,75.57142857,90.75,88.375,89.76785714,100,38,74.85714286,44,13,24.28571429,69,32.375,44.94642857,97,62,82,,32,10,normal,warning,warning
26,2009,31,29,30.28571429,24,24,24,27.25,26.5,26.85714286,40,37,38.71428571,29,28,28.28571429,33.875,32.25,33.03571429,32,10,16.14285714,10,2,6,12.625,5.875,9.303571429,8.9,1.2,4.442857143,0,0,0,1.2875,0.2,0.671428571,98,96,96.85714286,79,70,73.42857143,90.5,86.875,88.66071429,100,35,71.28571429,29,17,20.28571429,57,27.75,38.69642857,55,7,33.42857143,,23,16,normal,warning,warning
27,2009,32,30,30.57142857,25,24,24.14285714,27.5,26.25,26.82142857,40,36,38.42857143,29,28,28.42857143,33.25,31.25,32.5,20,12,15.57142857,7,1,3.714285714,10.875,6.25,8.678571429,7.2,0.6,3.9,0,0,0,1.075,0.1375,0.594642857,98,96,96.71428571,76,63,70.85714286,90.625,84.375,88.05357143,100,42,80,49,19,27.57142857,71.25,28.5,48.41071429,34,0,14.85714286,1,29,21,normal,danger,danger
28,2009,32,24,28.85714286,24,23,23.85714286,27.75,23.75,26.07142857,40,28,35.71428571,29,26,27.71428571,33.75,26.875,30.98214286,27,12,18.14285714,9,2,6.285714286,17.5,7.5,12.625,3.5,0,1.442857143,0,0,0,0.7125,0,0.283928571,98,95,97,93,65,79.28571429,96.125,83.5,90.25,100,37,87,55,10,36.14285714,84.125,24.25,55.48214286,83,41,62,1,13,7,normal,warning,warning
29,2009,30,25,27.71428571,24,23,23.71428571,26.25,24.25,25.39285714,37,29,34,28,27,27.14285714,31.5,27.875,29.83928571,28,15,19.57142857,15,7,10.71428571,18.25,11.375,14.51785714,5.5,0,3.285714286,0,0,0,1.5625,0,0.630357143,99,97,97.28571429,96,75,85.28571429,97.25,89,93.19642857,100,55,85.42857143,70,25,44.42857143,84.875,43.5,65.71428571,97,69,86,3,10,14,normal,warning,danger
30,2009,30,25,28.57142857,24,23,23.71428571,26.125,24,25.64285714,36,28,34.28571429,28,26,26.85714286,31.125,27.25,30.125,22,16,19,12,2,9.142857143,17.5,11.5,14.42857143,7.1,0,2.985714286,0,0,0,0.8875,0,0.469642857,98,95,96.85714286,89,70,80.14285714,93.875,87,91.19642857,100,54,78.42857143,40,19,26.28571429,59.375,37.75,47.92857143,62,21,41.28571429,4,3,12,normal,normal,warning
31,2009,31,24,27.57142857,24,23,23.28571429,26.5,23.5,24.98214286,38,28,32.71428571,27,26,26.42857143,31.5,26.625,28.80357143,25,19,22.57142857,13,9,10.85714286,18,14.625,16.23214286,13.4,0,4.428571429,0,0,0,2.0125,0,0.703571429,98,95,96.71428571,94,72,83.42857143,96.75,88.875,92.60714286,100,89,98.42857143,59,30,45.14285714,81.75,57,68.66071429,21,0,9,9,6,5,normal,normal,warning
32,2009,31,29,29.71428571,24,24,24,27,26,26.44642857,39,35,37.14285714,28,27,27.57142857,33.125,30.5,31.53571429,24,14,19.85714286,16,5,12,18.5,9.5,15.96428571,6.6,0,3.528571429,0,0,0,0.975,0,0.507142857,98,95,96.57142857,82,71,77.85714286,92,87,90,100,47,69.28571429,43,24,31.14285714,61.125,33.25,45.07142857,69,28,48.14285714,17,4,11,normal,normal,warning
