Textbox2,Textbox7,,,
Viet Nam,� World Health Organization 2020,,,
,,,,
Year,Week,AH1N1,AH3,B
2016,30,3,10,1
2016,31,2,9,3
2016,32,2,13,0
2016,33,1,6,0
2016,34,0,7,0
2016,35,0,3,0
2016,36,0,1,1
2016,37,1,2,0
2016,38,5,8,1
2016,39,1,4,0
2016,40,3,1,0
2016,41,0,3,2
2016,42,2,5,0
2016,43,2,1,0
2016,44,3,2,2
2016,45,1,4,2
2016,46,1,3,1
2016,47,10,4,2
2016,48,4,1,3
2016,49,2,1,1
2016,50,5,0,3
2016,51,4,0,7
2016,52,5,1,3
2017,1,7,0,1
2017,2,3,1,2
2017,3,1,0,4
2017,4,1,0,1
2017,5,0,0,0
2017,6,0,0,1
2017,7,3,0,0
2017,8,3,0,3
2017,9,2,0,1
2017,10,1,0,2
2017,11,1,0,2
2017,12,2,0,3
2017,13,7,0,5
2017,14,3,0,3
2017,15,5,1,8
2017,16,7,4,6
2017,17,3,3,6
2017,18,9,3,5
2017,19,9,0,15
2017,20,10,1,7
2017,21,5,1,10
2017,22,2,5,6
2017,23,14,0,16
2017,24,10,1,9
2017,25,5,2,7
2017,26,10,2,15
2017,27,5,9,20
2017,28,7,3,13
2017,29,6,5,11
2017,30,13,8,15
2017,31,8,19,11
2017,32,7,13,6
2017,33,1,13,5
2017,34,9,15,5
2017,35,4,16,6
2017,36,8,13,3
2017,37,3,8,5
2017,38,3,23,5
2017,39,4,11,3
2017,40,2,16,8
2017,41,8,7,6
2017,42,1,2,5
2017,43,5,10,5
2017,44,3,14,4
2017,45,1,4,5
2017,46,5,5,12
2017,47,3,1,1
2017,48,4,2,5
2017,49,2,1,3
2017,50,3,2,3
2017,51,1,1,0
2017,52,0,1,5
2018,1,0,1,1
2018,2,4,0,1
2018,3,2,0,0
2018,4,0,1,0
2018,5,2,0,1
2018,6,3,0,1
2018,7,0,0,0
2018,8,2,0,0
2018,9,2,0,0
2018,10,3,3,0
2018,11,5,0,3
2018,12,4,0,0
2018,13,0,0,0
2018,14,2,0,0
2018,15,2,0,0
2018,16,4,0,0
2018,17,1,2,0
2018,18,1,0,0
2018,19,3,0,0
2018,20,0,0,0
2018,21,1,0,0
2018,22,18,0,0
2018,23,6,0,0
2018,24,9,0,0
2018,25,6,0,0
2018,26,4,0,0
2018,27,7,1,0
2018,28,2,0,0
2018,29,7,0,0
2018,30,2,0,0
2018,31,3,2,0
2018,32,6,2,3
2018,33,1,0,0
2018,34,4,0,0
2018,35,2,1,0
2018,36,1,1,0
2018,37,2,2,2
2018,38,4,4,0
2018,39,7,3,0
2018,40,4,9,2
2018,41,4,6,0
2018,42,5,5,2
2018,43,6,4,3
2018,44,4,13,0
2018,45,4,9,7
2018,46,4,5,5
2018,47,2,9,5
2018,48,1,9,5
2018,49,0,5,12
2018,50,1,1,5
2018,51,1,2,0
2018,52,1,1,7
2019,1,0,0,0
2019,2,0,1,0
2019,3,1,0,3
2019,4,1,0,1
2019,5,0,0,0
2019,6,0,0,0
2019,7,1,0,0
2019,8,2,0,0
2019,9,2,0,2
2019,10,1,0,0
2019,11,0,0,0
2019,12,3,0,0
2019,13,5,0,2
2019,14,3,0,0
2019,15,5,0,0
2019,16,3,0,0
2019,17,4,0,0
2019,18,1,0,0
2019,19,0,0,1
2019,20,1,0,0
2019,21,3,0,2
2019,22,0,0,3
2019,23,0,0,2
2019,24,2,0,4
2019,25,1,0,8
2019,26,1,0,6
2019,27,3,0,1
2019,28,5,0,2
2019,29,5,0,1
2019,30,6,1,1
2019,31,6,0,3
2019,32,6,1,3
2019,33,6,0,4
2019,34,3,0,5
2019,35,6,0,4
2019,36,7,0,5
2019,37,2,0,6
2019,38,9,1,0
2019,39,10,0,3
2019,40,5,1,5
2019,41,9,1,4
2019,42,2,0,4
2019,43,11,1,1
2019,44,12,2,3
2019,45,7,1,2
2019,46,4,1,2
2019,47,0,1,0
2019,48,3,0,0
2019,49,3,2,0
2019,50,7,0,0
2019,51,7,0,0
2019,52,7,0,0
